T,0,1,2,3,4,5,6,7,8,9,10
1.67000,1.00000,0.95329,0.94750,0.94664,0.94645,0.94654,0.94652,0.94652,0.94650,0.94643,0.94641
2.51000,1.00000,0.55433,0.36848,0.26893,0.20754,0.16733,0.13956,0.11967,0.10561,0.09825,0.09621
3.35000,1.00000,0.35183,0.14036,0.06098,0.02765,0.01148,0.00542,0.00271,-0.00008,0.00078,0.00207
1.68000,1.00000,0.95223,0.94597,0.94492,0.94475,0.94474,0.94478,0.94473,0.94476,0.94466,0.94468
2.52000,1.00000,0.55847,0.37583,0.27981,0.22021,0.17977,0.15170,0.13288,0.12083,0.11328,0.10968
3.36000,1.00000,0.34659,0.13715,0.05826,0.02552,0.01099,0.00198,-0.00230,-0.00325,-0.00486,-0.00563
1.69000,1.00000,0.95152,0.94520,0.94419,0.94401,0.94397,0.94397,0.94398,0.94399,0.94398,0.94398
2.53000,1.00000,0.54052,0.34796,0.24802,0.18553,0.14423,0.11503,0.09400,0.08023,0.07277,0.07038
3.37000,1.00000,0.34985,0.13999,0.06218,0.03047,0.01471,0.00838,0.00507,0.00333,0.00298,0.00391
1.70000,1.00000,0.94925,0.94283,0.94189,0.94190,0.94185,0.94179,0.94175,0.94185,0.94181,0.94183
2.54000,1.00000,0.53685,0.34359,0.24272,0.18007,0.13798,0.10990,0.09064,0.07815,0.07142,0.06882
3.38000,1.00000,0.34296,0.13265,0.05463,0.02358,0.01046,0.00475,0.00363,0.00349,0.00314,0.00234
1.71000,1.00000,0.94630,0.93879,0.93762,0.93732,0.93723,0.93710,0.93711,0.93714,0.93718,0.93716
2.55000,1.00000,0.53927,0.34749,0.24729,0.18695,0.14709,0.12036,0.10161,0.08900,0.08123,0.07832
3.39000,1.00000,0.34188,0.13249,0.05493,0.02366,0.00918,0.00362,0.00171,0.00107,0.00196,0.00215
1.72000,1.00000,0.94623,0.93893,0.93790,0.93770,0.93759,0.93755,0.93761,0.93757,0.93768,0.93768
2.56000,1.00000,0.52383,0.32480,0.22072,0.15834,0.11817,0.09027,0.07196,0.05960,0.05317,0.05111
3.40000,1.00000,0.34382,0.13392,0.05726,0.02546,0.01239,0.00601,0.00281,0.00260,0.00257,0.00307
1.73000,1.00000,0.94300,0.93469,0.93307,0.93275,0.93265,0.93263,0.93256,0.93255,0.93261,0.93258
2.57000,1.00000,0.53347,0.34131,0.24162,0.18143,0.14144,0.11345,0.09540,0.08269,0.07616,0.07429
3.41000,1.00000,0.34359,0.13534,0.05770,0.02611,0.01204,0.00721,0.00501,0.00354,0.00137,0.00119
1.74000,1.00000,0.94190,0.93389,0.93236,0.93217,0.93221,0.93213,0.93207,0.93202,0.93204,0.93208
2.58000,1.00000,0.52341,0.32501,0.21995,0.15800,0.11682,0.08941,0.07095,0.06039,0.05569,0.05406
3.42000,1.00000,0.34044,0.13156,0.05385,0.02284,0.01144,0.00538,0.00214,0.00171,0.00220,0.00337
1.75000,1.00000,0.93994,0.93118,0.92962,0.92924,0.92908,0.92900,0.92903,0.92905,0.92906,0.92908
2.59000,1.00000,0.51979,0.32146,0.21917,0.15804,0.11901,0.09319,0.07644,0.06599,0.05884,0.05564
3.43000,1.00000,0.34080,0.13204,0.05646,0.02573,0.01291,0.00666,0.00255,0.00198,0.00094,0.00096
1.76000,1.00000,0.93543,0.92517,0.92309,0.92245,0.92227,0.92224,0.92223,0.92225,0.92234,0.92229
2.60000,1.00000,0.51761,0.32041,0.21927,0.15955,0.12222,0.09667,0.07947,0.06783,0.06150,0.05898
